seller_id,seller_zip_code_prefix,seller_city,seller_state
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP
f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG
116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP
b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP
d3674f271c91f824f82d24d92011f669,72233,brasilia,DF
768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF
a81466620e46a6970b22ef40379fdfc9,88730,sao ludgero,SC
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP
c353f8fc0ce8344999f17d578eb69a5e,90850,porto alegre,RS
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG
8759e7aedd644f487315e5860962f162,9251,santo andre,SP
d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC
0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ
c89cf7c468a48af70aada384e722f9e2,25730,petropolis,RJ
b7ba853e9551f4558440881fd3e5c815,95500,santo antonio da patrulha,RS
cbbd5ae8f53de5f5097cd8217b529e24,6544,santana de parnaiba,SP
02ecc2a19303f05e59ce133fd923fff7,9121,santo andre,SP
2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP
b7e1750c1157341d2abd0251e07c186b,5741,sao paulo,SP
b90e891671cffd9557f33a97dc523645,83010,sao jose dos pinhais,PR
a416b6a846a11724393025641d4edd5e,3702,sao paulo,SP
7e93a43ef30c4f03f38b393420bc753a,6429,barueri,SP
5206cc4bc2297c833e6061c49bf9c43f,6192,osasco,SP
ef506c96320abeedfb894c34db06f478,3569,sao paulo,SP
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG
7722b1df1b0e383e000397b2c11e3e19,9715,sao bernardo do campo,SP
731ef20c231d9a7103a425e83fd91271,88501,lages - sc,SC
bba3293d6f5d5af2f415e004e8b93ae3,4726,sao paulo,SP
4e7c18b98d84e05cbae3ff0ff03846c2,14882,jaboticabal,SP
b56906f7fd1696e043f1bcce164c487b,19830,echapora,SP
d650b663c3b5f6fb392b6326366efa9a,6713,cotia,SP
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
c2d70ce2c5d0a2eb75e78668236e6dc8,4275,sao paulo,SP
abe42c5d03695b4257b5c6cbf4e6784e,21235,rio de janeiro,RJ
79b93a308a97792cf53ac75f46da00b5,22420,rio de janeiro,RJ
63ffcb71394dd8ea3872ed9ffda17c74,24813,itaborai,RJ
83353a83fd769dfafa4f21a72b15e3e5,5786,sao paulo,SP
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
422be4cc81a457fdb46f47edeb968ae5,14940,ibitinga,SP
8bb48dc19fccaa8613b6229bf7f452a2,19803,assis,SP
